line	reasons
đường giáp hải củ chi	4:duoi_32_ky_tu
đường lê trọng tấn - thanh xuân	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phường 5, long an	4:duoi_32_ky_tu
Dự án The Boat Club Residences Đường Tam Đa, Phường Trường Thạnh, Quận 9, Hồ Chí Minh	0:thieu_dau_sai_chinh_ta[boat]
dự án đtm dịch vọng - cầu giấy hà nội	1:gach_noi_giua_cap
phường tân thạnh phố mai hac de buôn ma thuột	0:thieu_dau_sai_chinh_ta[hac,mai hac,hac de]
Võ Văn Điều Củ Chi Hồ Chí Minh	4:duoi_32_ky_tu
nguyễn văn thu hải châu - đà nẵng	0:thieu_dau_sai_chinh_ta[văn thu] | 1:gach_noi_giua_cap
thôn san - cổ loa	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phường 6 - đường ngô quyền - đà lạt	1:gach_noi_giua_cap
KDC sân bay Long Thành - Long Thành - Đồng Nai	1:gach_noi_giua_cap | 2:trung_keyword[long thành]
Đường Hòa Đình Bắc Ninh	4:duoi_32_ky_tu
dự án an hạ riverside - bình chánh - tp hồ chí minh	1:gach_noi_giua_cap
tỉnh lộ 10a - thừa thiên huế	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
nguyễn xiển, thanh xuân	4:duoi_32_ky_tu
Đường Trúc Khê	4:duoi_32_ky_tu
ngõ 46 - Quận Nhân - Cầu Giấy	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phạm thiều, đà nẵng	4:duoi_32_ky_tu
kim hoa phường liên hà nội	4:duoi_32_ky_tu
đường 16, quận 9	4:duoi_32_ky_tu
đường mai dịch cầu giấy. - hà nội	1:gach_noi_giua_cap
phường	4:duoi_32_ky_tu
đường lê lam sơn trà đa nang	0:thieu_dau_sai_chinh_ta[đa nang] | 4:duoi_32_ky_tu
Trường Sơn - Tân Bình - Hồ Chí Minh	1:gach_noi_giua_cap
119 - a4 phố 8/ 3, hai bà trưng, hà nội	1:gach_noi_giua_cap
hoài đức, hà nội	4:duoi_32_ky_tu
Đường Tỉnh lộ 824 Hóc Môn	4:duoi_32_ky_tu
lê văn lương, cần giuộc long an	4:duoi_32_ky_tu
Đường Mac Thái Tổ Cầu Giấy, Hà Nội	0:thieu_dau_sai_chinh_ta[mac]
nguyễn hoàng ton tây hồ hà nội	4:duoi_32_ky_tu
202 đường nguyễn an ninh - vũng tàu	1:gach_noi_giua_cap
golden millennium	3:keyword_la_toan_so | 4:duoi_32_ky_tu
Valora Fuji Nam Long - Đường D2 Phường Phước Long B Quận 9 - hồ chí minh	1:gach_noi_giua_cap
đường hùng vương - chư sê gia lai	1:gach_noi_giua_cap
đường pasteur - quận 1 - tp hồ chí minh	1:gach_noi_giua_cap
New Life Tower	4:duoi_32_ky_tu
019 ngõ Nhac Sơn phường Kim Tân	0:thieu_dau_sai_chinh_ta[nhac] | 4:duoi_32_ky_tu
80 hoằng đạo thanh	4:duoi_32_ky_tu
kdc chợ bình điền - quận 8 hồ chí minh	1:gach_noi_giua_cap
khu dân cu hiệp thành iii	0:thieu_dau_sai_chinh_ta[dân cu] | 4:duoi_32_ky_tu
Đường Bùi Thị Xuân, Dĩ An	4:duoi_32_ky_tu
Việt Hưng Hạ Long - Quảng Ninh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Thới Hòa, Bình Chánh	4:duoi_32_ky_tu
phạm hùng phường 04, quận 8	4:duoi_32_ky_tu
Võ Thị Sáu Vinh Nghệ An	4:duoi_32_ky_tu
thái sanh hanh - tiền giang	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
cao ốc bmc hưng long	4:duoi_32_ky_tu
số 15c - ngõ 37 - đại đồng - hoàng mai hà nội	1:gach_noi_giua_cap
Dự án Vinhomes Green Bay Hà Nội	4:duoi_32_ky_tu
đường 27, thủ đức, hồ chí minh	4:duoi_32_ky_tu
tho nhuom hoàn kiếm, hà nội	0:thieu_dau_sai_chinh_ta[nhuom] | 4:duoi_32_ky_tu
vinhomes riverside phường phúc lợi - long biên - hà nội	1:gach_noi_giua_cap
hàng buồm - hoàn kiếm - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
nam thới 1 - hồ chí minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
số 1aa, ngõ 39 lực hành	4:duoi_32_ky_tu
đường 37 - quận 2	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
lê trọng tấn, hà đông	4:duoi_32_ky_tu
đường bùi trọng nghĩa - phường trảng dài - đồng nai	1:gach_noi_giua_cap
kcn quảng minh thị trấn quang minh cao toc thăng long noi bai mê linh hà nội	0:thieu_dau_sai_chinh_ta[toc]
đường tứ minh thái nguyên	4:duoi_32_ky_tu
dự án khu dân cu the ki 21 quận 2 tp hồ chí minh	0:thieu_dau_sai_chinh_ta[dân cu]
đường d2 nhà bè hồ chí minh	4:duoi_32_ky_tu
sweet home nhơn trạch	4:duoi_32_ky_tu
kdc bến lội bắc phan thiết	4:duoi_32_ky_tu
111 - Lũy Bán Bích - Tân Phú - Hồ Chí Minh	1:gach_noi_giua_cap
vườn xuân - 71 nguyễn chí thanh, đống đa	1:gach_noi_giua_cap
xã thịnh đức	4:duoi_32_ky_tu
Hải Châu, Đà Nẵng	4:duoi_32_ky_tu
Dự án The Everrich Infinity - Quận 5 - Hồ Chí Minh	1:gach_noi_giua_cap
Nguyễn Thượng Hiền Cẩm Lệ	4:duoi_32_ky_tu
hồng ngự - đồng tháp	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường 6b, quận 9, hồ chí minh	4:duoi_32_ky_tu
phố vũ hữu - phường nhân chính hà nội	1:gach_noi_giua_cap
đường lương văn can - quận 8 - tp hồ chí minh	1:gach_noi_giua_cap
xã tân lợi - đường vành đai - buôn ma thuột - đắk lắk	1:gach_noi_giua_cap
Đường Đường Hien Quyen, Khánh Hòa	0:thieu_dau_sai_chinh_ta[hien,quyen] | 2:trung_keyword[đường đường]
đường phú lộc 4	4:duoi_32_ky_tu
Đường Nguyễn Du, Hoàn Kiếm	4:duoi_32_ky_tu
tân lập, khánh hòa	4:duoi_32_ky_tu
Tam Đảo	4:duoi_32_ky_tu
zen home	3:keyword_la_toan_so | 4:duoi_32_ky_tu
315 - 317 trần thủ độ, tân phú	4:duoi_32_ky_tu
quốc lộ 20 di linh	4:duoi_32_ky_tu
3189/ 42 phạm thế hiển - quận 8 - hồ chí minh	1:gach_noi_giua_cap
phú điền building	4:duoi_32_ky_tu
21 hàn hải nguyên, quận 11	4:duoi_32_ky_tu
số 8 đường ngô quyền, hải dương	4:duoi_32_ky_tu
vi ba, phường 4, vũng tàu	4:duoi_32_ky_tu
đường 339 - long trường - quận 9 hồ chí minh	1:gach_noi_giua_cap
đông hòa dĩ an bình dương	4:duoi_32_ky_tu
Đường 647, Thủ Đức, Hồ Chí Minh	4:duoi_32_ky_tu
khu dân cu 6b intresco bình chánh tp hồ chí minh	0:thieu_dau_sai_chinh_ta[dân cu]
đường hùng vương, hải châu	4:duoi_32_ky_tu
phường 10 lý chiêu hoàng quận 6 - hồ chí minh	1:gach_noi_giua_cap
xã đông tiến, bình phước	4:duoi_32_ky_tu
đường cao diên thạnh hòa thành hoa	0:thieu_dau_sai_chinh_ta[thành hoa]
đường phú lộc 17 - liên chiểu - đà nẵng	1:gach_noi_giua_cap
630 lê lợi bắc giang	4:duoi_32_ky_tu
số 4c, bình chánh, hồ chí minh	4:duoi_32_ky_tu
đường nguyễn lâm, phú nhuận	4:duoi_32_ky_tu
Khu dân cư Nam Long - Quận 9 - Hồ Chí Minh	1:gach_noi_giua_cap
Phạm Hùng, Cầu Giấy	4:duoi_32_ky_tu
hẻm 50 đường lê lợi gò vấp	4:duoi_32_ky_tu
đường 141 quận 9 hồ chí minh	4:duoi_32_ky_tu
linh trung	3:keyword_la_toan_so | 4:duoi_32_ky_tu
Đường Khe	4:duoi_32_ky_tu
đường 12 thủ dầu một bình dương	4:duoi_32_ky_tu
Trung Hoà Trảng Bom - Đồng Nai	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường 27 thủ đức	4:duoi_32_ky_tu
tân phong, biên hoà	4:duoi_32_ky_tu
Tôn Đức Thắng - Liên Chiểu Đà Nẵng	1:gach_noi_giua_cap
Phố Bồ Đề	4:duoi_32_ky_tu
Phường Phước Long	4:duoi_32_ky_tu
đường 28 gò vấp hồ chí minh	4:duoi_32_ky_tu
số 6 - 7 trần quốc toản p. vạn thắng - tp. nha trang khánh hòa	1:gach_noi_giua_cap
chu văn phương hạ long nam định	4:duoi_32_ky_tu
tdc plaza - đường lê lai - bình dương	1:gach_noi_giua_cap
đường trường lâm	4:duoi_32_ky_tu
xã đắk sin, dăk r'lấp, đắk nông	4:duoi_32_ky_tu
đường kim đồng - liên nghĩa - đức trọng - lâm đồng	1:gach_noi_giua_cap
ô chợ dừa	4:duoi_32_ky_tu
đường chấn hưng - quận 10	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
tựu liệt thanh trì	4:duoi_32_ky_tu
Phường Nhơn Phú Đường Hùng Vương - Quy Nhơn	1:gach_noi_giua_cap
dự án river park vành đai trong quận 9 hồ chí minh	0:thieu_dau_sai_chinh_ta[trong quận]
kđt cao xanh - hà khánh hạ long, quảng ninh	1:gach_noi_giua_cap
m1	3:keyword_la_toan_so | 4:duoi_32_ky_tu
dự án khu căn hộ ehome 3 - bình tân sài gòn	1:gach_noi_giua_cap
Xã Thanh Hà Thanh Liêm Hà Nam	4:duoi_32_ky_tu
phố hàng ga phường hàng bồ - hà nội	1:gach_noi_giua_cap
tân hiệp	4:duoi_32_ky_tu
d2 quận 9 hồ chí minh	4:duoi_32_ky_tu
đường nguyễn thái bình - phan rang - ninh thuận	1:gach_noi_giua_cap
19 đường lộ giang 16 cẩm lệ	4:duoi_32_ky_tu
đường 36, quận 7, hồ chí minh	4:duoi_32_ky_tu
Dự án Ellipse Tower (City View) – 110 Trần Phú - Hà Đông hà nội	1:gach_noi_giua_cap
đường nguyễn văn linh ninh kiều	4:duoi_32_ky_tu
tả thanh oai cầu buou	4:duoi_32_ky_tu
tp hồ chí minh	4:duoi_32_ky_tu
việt hưng, quảng ninh	4:duoi_32_ky_tu
xã đồng du gia lâm	4:duoi_32_ky_tu
đường dương đình nghệ,, đà nẵng	4:duoi_32_ky_tu
phường tân thuận tây, quận 7	4:duoi_32_ky_tu
vĩnh lộc a hóc môn hồ chí minh	4:duoi_32_ky_tu
ngõ 260 phố	4:duoi_32_ky_tu
Đường 21 - Quận 12	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường tây sơn - ba đình - hà nội	1:gach_noi_giua_cap
tân ước	4:duoi_32_ky_tu
đường thuỷ sơn 4	4:duoi_32_ky_tu
vinhomes riverside anh đào 9 - phường việt hưng - long biên	1:gach_noi_giua_cap
Valora Fuji Nam Long	3:keyword_la_toan_so | 4:duoi_32_ky_tu
dự định - long xuyên - an giang	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
thiên loi, lê chân, hải phòng	4:duoi_32_ky_tu
Khu nha o Dat Việt	0:thieu_dau_sai_chinh_ta[dat] | 4:duoi_32_ky_tu
Trảng Bom Đồng Nai	4:duoi_32_ky_tu
vinpearl phú quốc	4:duoi_32_ky_tu
nguyễn phúc chu phan thiết	4:duoi_32_ky_tu
đường quốc hương, quận 2	4:duoi_32_ky_tu
17 - nguyễn cửu đàm - tân phú	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
dx 083, thủ dầu một, bình dương	4:duoi_32_ky_tu
đường nguyễn văn trỗi - long điền bà rịa vũng tàu	1:gach_noi_giua_cap
đường lê đức thọ - nam từ liêm	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường 27 - thủ đức	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
quận hồng bàng hải phòng	4:duoi_32_ky_tu
Đường Trần Não - Quận 2 Tp Hồ Chí Minh	1:gach_noi_giua_cap
nguyễn huệ bình long bình phước	4:duoi_32_ky_tu
tân kỳ tân quý - tân phú - hồ chí minh	1:gach_noi_giua_cap
dự án riviera point - tân phú huỳnh tấn phát - quận 7	1:gach_noi_giua_cap
Cù Lao Phú Nhuận	4:duoi_32_ky_tu
toà nhà 249a thụy khuê - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Đường 668 Thủ Đức, Hồ Chí Minh	4:duoi_32_ky_tu
đường bình nhâm 82, bình dương	4:duoi_32_ky_tu
Đường Lê Trực, Ba Đình, Hà Nội	4:duoi_32_ky_tu
3 thôn trung mau gia lâm - hà nội	1:gach_noi_giua_cap
bạch mai hai bà trưng hà nội	4:duoi_32_ky_tu
an bắc 4, ngũ hành sơn	4:duoi_32_ky_tu
đường 8 quận 9, tp hồ chí minh	4:duoi_32_ky_tu
phố hàng hom hoàn kiếm hà nội	4:duoi_32_ky_tu
phố đoàn thị điểm - đội cung thanh hóa	1:gach_noi_giua_cap
Lỗ Giáng 16, Cẩm Lệ	4:duoi_32_ky_tu
dự án the hyco4 tower bình thạnh - hồ chí minh	1:gach_noi_giua_cap
dự án khang gia tân hương (lucky apartment) - tân phú - sài gòn	1:gach_noi_giua_cap
282/ 65 bùi hữu nghĩa - p15 - bình thạnh - tp hồ chí minh	1:gach_noi_giua_cap
miêu nha	4:duoi_32_ky_tu
trảng dài - đường 768b - biên hòa - đồng nai	1:gach_noi_giua_cap
đường lê duy nhuan - phường 12 tân bình - hồ chí minh	1:gach_noi_giua_cap
hàng buồm, hà nội	4:duoi_32_ky_tu
đường 35 thủ đức tp hồ chí minh	4:duoi_32_ky_tu
8 ngach 106 ngõ Goc De Đường Minh Khai Hoàng Mai	0:thieu_dau_sai_chinh_ta[ngach,goc]
man thiện lê văn việt quận 9	4:duoi_32_ky_tu
khu biet thu doi co - lương sơn - hòa bình	0:thieu_dau_sai_chinh_ta[biet] | 1:gach_noi_giua_cap
đặng minh trứ hồ chí minh	4:duoi_32_ky_tu
mỹ phước, thuận an, bình dương	4:duoi_32_ky_tu
daresco residence (đức hòa iii resco) - xã đức lập thượng	1:gach_noi_giua_cap
đường tôn đức thắng - liên chiểu	1:gach_noi_giua_cap
đường 5 - an dương	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Phạm Ngũ Lão Gò Vấp	4:duoi_32_ky_tu
chung cu belleza apartment, đường phạm hữu lầu phú mỹ quận 7, hồ chí minh	0:thieu_dau_sai_chinh_ta[chung cu]
đường 3/ 2 - quận 10	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phố 14 gò vấp hồ chí minh	4:duoi_32_ky_tu
đường cao đức lân - quận 2 - hồ chí minh	1:gach_noi_giua_cap
thôn đại tao quốc oai hà nội	4:duoi_32_ky_tu
Vành Đai 2, Bình Chánh	4:duoi_32_ky_tu
81/ 15 tô vĩnh diện dĩ an - bình dương	1:gach_noi_giua_cap
Dự án Khu cao oc Hồng Tân, Bình Tân, Hồ Chí Minh	0:thieu_dau_sai_chinh_ta[oc]
228a - phan văn hân - bình thạnh	1:gach_noi_giua_cap
phổ yên, thái nguyên	4:duoi_32_ky_tu
Đường Truong Văn Hải P. Tăng Nhơn Phú B TP Hồ Chí Minh	0:thieu_dau_sai_chinh_ta[truong,đường truong]
Phố 24 Thủ Đức Hồ Chí Minh	4:duoi_32_ky_tu
lê trọng tấn p. sơn kỳ	4:duoi_32_ky_tu
an thượng 33 mỹ an ngũ hành sơn	4:duoi_32_ky_tu
Dự án Bencat Center Point - Bến Cát - Bình Dương	1:gach_noi_giua_cap
135/ 1/ 12 nguyễn hữu cảnh - p. 22 q. bình thạnh	1:gach_noi_giua_cap
Xã Mễ Trì, Nam Từ Liêm	4:duoi_32_ky_tu
hung gia 2 hồ chí minh	4:duoi_32_ky_tu
Đường 1 - Quận 7	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường nguyễn đức cảnh - cẩm phả - quảng ninh	1:gach_noi_giua_cap
Thủ Đức - Hồ Chí Minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Ngõ 91 Nguyễn An Ninh - Hoàng Mai - Hà Nội	1:gach_noi_giua_cap
49 Thúy Lĩnh Lĩnh Nam	4:duoi_32_ky_tu
Khu căn hộ Quốc 1K IDICO	4:duoi_32_ky_tu
ấp chánh 16 - hồ chí minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường mai xuân thưởng - vĩnh hải - khánh hòa	1:gach_noi_giua_cap
cấm - ngô quyền - hải phòng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
dự án khu đỗ thị mới dong tang long - quận 9 - hồ chí minh	1:gach_noi_giua_cap
đường nguyễn lam - phường 6 - quận 10	1:gach_noi_giua_cap
đường chu văn an - phường bình chiểu thủ đức	1:gach_noi_giua_cap
cuu long - phạm văn đồng - phường 12 bình thạnh	1:gach_noi_giua_cap
Lạc Long Quân Vĩnh Yên	4:duoi_32_ky_tu
Mỹ Thái 2	4:duoi_32_ky_tu
Xã Tứ Yên, Sông Lô, Vĩnh Phúc	4:duoi_32_ky_tu
dự án chung cu bo công an dương số 3 - trần não -  2 hồ chí minh	0:thieu_dau_sai_chinh_ta[chung cu] | 1:gach_noi_giua_cap
Hoàng Cầu Skyline	4:duoi_32_ky_tu
phan chu trinh tây ninh	4:duoi_32_ky_tu
Ngõ 22 Tôn Thất Tùng	4:duoi_32_ky_tu
đường 61, quận 7	4:duoi_32_ky_tu
đường lê trung kiên phù yên	4:duoi_32_ky_tu
Số 10 - Liên Chiểu - Đà Nẵng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
nguyễn khánh toàn - vĩnh hải - nha trang	1:gach_noi_giua_cap
ngõ 68 đường cầu giấy hà nội	4:duoi_32_ky_tu
đường thới an.  - quận 12 - hồ chí minh	1:gach_noi_giua_cap
16 ngõ 72 P. Khương Trung - Hà Nội	1:gach_noi_giua_cap
Y Wang	3:keyword_la_toan_so | 4:duoi_32_ky_tu
the pride - lê văn lương - la khê - hà đông - hà nội	1:gach_noi_giua_cap
Hà Huy Giáp Cẩm Lệ - Đà Nẵng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
thanh xuân, hà nội	4:duoi_32_ky_tu
đường yên vinh hoài đức	0:thieu_dau_sai_chinh_ta[yên vinh] | 4:duoi_32_ky_tu
phố hàng be hoàn kiếm hà nội	4:duoi_32_ky_tu
phường tân phú quận 7	4:duoi_32_ky_tu
park riverside	3:keyword_la_toan_so | 4:duoi_32_ky_tu
đường quốc lộ 43	4:duoi_32_ky_tu
phường phú xá thái nguyên	4:duoi_32_ky_tu
long hưng hồ chí minh	4:duoi_32_ky_tu
đường lê trọng tấn, thanh xuân	4:duoi_32_ky_tu
đường thủ khoa huân - lâm đồng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phong phú - bình chánh tp hồ chí minh	1:gach_noi_giua_cap
đường trầm cá	4:duoi_32_ky_tu
vĩnh niệm, hải phòng	4:duoi_32_ky_tu
Đường Tân Phước, Quận 11	4:duoi_32_ky_tu
đường 24 - thủ đức - hồ chí minh	1:gach_noi_giua_cap
nguyễn du - hoàn kiếm - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường khương thượng - đống đa hà nội	1:gach_noi_giua_cap
Quảng Điền Thừa Thiên Huế	4:duoi_32_ky_tu
đường hoàng lê kha, quận 6	4:duoi_32_ky_tu
the vesta, hà đông, hà nội	4:duoi_32_ky_tu
24 - Thủ Đức - Hồ Chí Minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
nghĩa dũng - ba đình hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
k19	3:keyword_la_toan_so | 4:duoi_32_ky_tu
Đào Duy Anh - Phú Nhuận - Tp Hồ Chí Minh	1:gach_noi_giua_cap
Hồ Tùng Mậu - Phường Bến Nghé Quận 1	1:gach_noi_giua_cap
353 nguyễn trong tuyen, phú nhuận hồ chí minh	0:thieu_dau_sai_chinh_ta[tuyen]
71/ 3 che lan vien - tây thành - tân phú - hồ chí minh	0:thieu_dau_sai_chinh_ta[vien,che lan] | 1:gach_noi_giua_cap
phố phan đăng lưu - biên hòa đồng nai	1:gach_noi_giua_cap
hoàng cầu - thái hà đông da	0:thieu_dau_sai_chinh_ta[đông da] | 1:gach_noi_giua_cap | 4:duoi_32_ky_tu
38 phùng chí kiên - cầu giấy	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
An Dương, Hải Phòng	4:duoi_32_ky_tu
Đường Lê Thanh - Lào Cai	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
hẻm 5m, đường cô bắc phú nhuận	4:duoi_32_ky_tu
Đường Cao Thắng Hà Đông	4:duoi_32_ky_tu
khu đỗ thị an thịnh	4:duoi_32_ky_tu
Võ Thị Sáu - Bạc Liêu	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Dự án Lexington Residence - Quận 2 - Sài Gòn	1:gach_noi_giua_cap
142/ 36b - đường nguyễn thị thập quận 7	1:gach_noi_giua_cap
Đường Lê Duẩn, Thị trấn Long Thành, Long Thành, Đồng Nai	2:trung_keyword[long thành]
đường 51c phường 11 - vũng tàu	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
98 tây thạnh - tân phú	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
số 5 - ngõ 219 quỳnh cư - hồng bàng hải phòng	1:gach_noi_giua_cap
Nguyễn Khuyến Đà Lạt Lâm Đồng	4:duoi_32_ky_tu
phạm văn đồng tây ninh	4:duoi_32_ky_tu
đường lê hồng phong hà đông	4:duoi_32_ky_tu
134/ 17/ 11 - Lý Chính Thắng - P7 - Q3	1:gach_noi_giua_cap
Đường Nguyễn Mỹ Ca - Tân Phú	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
